Item,Durchgang,Network,Entropy,Correlation
ages,rest1_s200,DAN,roc_raw_squared,"{'VIS': [[-0.16300047979993085], [0.002980899288813429], [0.05067528790982829]], 'SMN': [[-0.10515384382305396], [0.05635766519595453], [0.958080308331227]], 'DAN': [[-0.13642250803793118], [0.013121982272619829], [0.22307369863453708]], 'VAN': [[-0.07309247666563154], [0.1853288246533372], [1.0]], 'LIM': [[-0.09373159252805936], [0.08913046934760643], [1.0]], 'CON': [[-0.1379682366358378], [0.012113647619631835], [0.2059320095337412]], 'DMN': [[-0.12502812131335198], [0.023113662350771027], [0.39293225996310743]], 'Temp': [[-0.07727305706205954], [0.16136270054253782], [1.0]]}"
ages,rest1_s200,VAN,roc_raw_squared,"{'VIS': [[-0.16300047979993085], [0.002980899288813429], [0.05067528790982829]], 'SMN': [[-0.10515384382305396], [0.05635766519595453], [0.958080308331227]], 'DAN': [[-0.13642250803793118], [0.013121982272619829], [0.22307369863453708]], 'VAN': [[-0.07309247666563154], [0.1853288246533372], [1.0]], 'LIM': [[-0.09373159252805936], [0.08913046934760643], [1.0]], 'CON': [[-0.1379682366358378], [0.012113647619631835], [0.2059320095337412]], 'DMN': [[-0.12502812131335198], [0.023113662350771027], [0.39293225996310743]], 'Temp': [[-0.07727305706205954], [0.16136270054253782], [1.0]]}"
ages,rest1_s200,LIM,roc_raw_squared,"{'VIS': [[-0.16300047979993085], [0.002980899288813429], [0.05067528790982829]], 'SMN': [[-0.10515384382305396], [0.05635766519595453], [0.958080308331227]], 'DAN': [[-0.13642250803793118], [0.013121982272619829], [0.22307369863453708]], 'VAN': [[-0.07309247666563154], [0.1853288246533372], [1.0]], 'LIM': [[-0.09373159252805936], [0.08913046934760643], [1.0]], 'CON': [[-0.1379682366358378], [0.012113647619631835], [0.2059320095337412]], 'DMN': [[-0.12502812131335198], [0.023113662350771027], [0.39293225996310743]], 'Temp': [[-0.07727305706205954], [0.16136270054253782], [1.0]]}"
ages,rest1_s200,CON,roc_raw_squared,"{'VIS': [[-0.16300047979993085], [0.002980899288813429], [0.05067528790982829]], 'SMN': [[-0.10515384382305396], [0.05635766519595453], [0.958080308331227]], 'DAN': [[-0.13642250803793118], [0.013121982272619829], [0.22307369863453708]], 'VAN': [[-0.07309247666563154], [0.1853288246533372], [1.0]], 'LIM': [[-0.09373159252805936], [0.08913046934760643], [1.0]], 'CON': [[-0.1379682366358378], [0.012113647619631835], [0.2059320095337412]], 'DMN': [[-0.12502812131335198], [0.023113662350771027], [0.39293225996310743]], 'Temp': [[-0.07727305706205954], [0.16136270054253782], [1.0]]}"
ages,rest1_s200,DMN,roc_raw_squared,"{'VIS': [[-0.16300047979993085], [0.002980899288813429], [0.05067528790982829]], 'SMN': [[-0.10515384382305396], [0.05635766519595453], [0.958080308331227]], 'DAN': [[-0.13642250803793118], [0.013121982272619829], [0.22307369863453708]], 'VAN': [[-0.07309247666563154], [0.1853288246533372], [1.0]], 'LIM': [[-0.09373159252805936], [0.08913046934760643], [1.0]], 'CON': [[-0.1379682366358378], [0.012113647619631835], [0.2059320095337412]], 'DMN': [[-0.12502812131335198], [0.023113662350771027], [0.39293225996310743]], 'Temp': [[-0.07727305706205954], [0.16136270054253782], [1.0]]}"
ages,rest1_s200,Temp,roc_raw_squared,"{'VIS': [[-0.16300047979993085], [0.002980899288813429], [0.05067528790982829]], 'SMN': [[-0.10515384382305396], [0.05635766519595453], [0.958080308331227]], 'DAN': [[-0.13642250803793118], [0.013121982272619829], [0.22307369863453708]], 'VAN': [[-0.07309247666563154], [0.1853288246533372], [1.0]], 'LIM': [[-0.09373159252805936], [0.08913046934760643], [1.0]], 'CON': [[-0.1379682366358378], [0.012113647619631835], [0.2059320095337412]], 'DMN': [[-0.12502812131335198], [0.023113662350771027], [0.39293225996310743]], 'Temp': [[-0.07727305706205954], [0.16136270054253782], [1.0]]}"
ages,rest1_s200,VIS,se,"{'VIS': [[0.02691391624889091], [0.6261530011858644], [1.0]], 'SMN': [[0.1373888602370317], [0.012483292883121045], [0.21221597901305778]], 'DAN': [[0.05437469995454743], [0.3247488057912812], [1.0]], 'VAN': [[0.11270064238858725], [0.04075015271526698], [0.6927525961595387]], 'LIM': [[0.16054251565188413], [0.003452045366976539], [0.05868477123860116]], 'CON': [[0.07579713719333242], [0.16954245502418938], [1.0]], 'DMN': [[0.07479894357884653], [0.17524749685911564], [1.0]], 'Temp': [[0.09769903731195129], [0.07634496840513895], [1.0]]}"
ages,rest1_s200,SMN,se,"{'VIS': [[0.02691391624889091], [0.6261530011858644], [1.0]], 'SMN': [[0.1373888602370317], [0.012483292883121045], [0.21221597901305778]], 'DAN': [[0.05437469995454743], [0.3247488057912812], [1.0]], 'VAN': [[0.11270064238858725], [0.04075015271526698], [0.6927525961595387]], 'LIM': [[0.16054251565188413], [0.003452045366976539], [0.05868477123860116]], 'CON': [[0.07579713719333242], [0.16954245502418938], [1.0]], 'DMN': [[0.07479894357884653], [0.17524749685911564], [1.0]], 'Temp': [[0.09769903731195129], [0.07634496840513895], [1.0]]}"
ages,rest1_s200,DAN,se,"{'VIS': [[0.02691391624889091], [0.6261530011858644], [1.0]], 'SMN': [[0.1373888602370317], [0.012483292883121045], [0.21221597901305778]], 'DAN': [[0.05437469995454743], [0.3247488057912812], [1.0]], 'VAN': [[0.11270064238858725], [0.04075015271526698], [0.6927525961595387]], 'LIM': [[0.16054251565188413], [0.003452045366976539], [0.05868477123860116]], 'CON': [[0.07579713719333242], [0.16954245502418938], [1.0]], 'DMN': [[0.07479894357884653], [0.17524749685911564], [1.0]], 'Temp': [[0.09769903731195129], [0.07634496840513895], [1.0]]}"
ages,rest1_s200,VAN,se,"{'VIS': [[0.02691391624889091], [0.6261530011858644], [1.0]], 'SMN': [[0.1373888602370317], [0.012483292883121045], [0.21221597901305778]], 'DAN': [[0.05437469995454743], [0.3247488057912812], [1.0]], 'VAN': [[0.11270064238858725], [0.04075015271526698], [0.6927525961595387]], 'LIM': [[0.16054251565188413], [0.003452045366976539], [0.05868477123860116]], 'CON': [[0.07579713719333242], [0.16954245502418938], [1.0]], 'DMN': [[0.07479894357884653], [0.17524749685911564], [1.0]], 'Temp': [[0.09769903731195129], [0.07634496840513895], [1.0]]}"
