Item,Durchgang,Network,Entropy,Correlation
ages,rest1_s200,DAN,roc_raw_squared,"{'VIS': [[-0.11078321117786284], [0.044321785934042034], [0.7534703608787146]], 'SMN': [[-0.048043235009879615], [0.3843334595961548], [1.0]], 'DAN': [[-0.08572826303576712], [0.12011655575414279], [1.0]], 'VAN': [[0.004547520392956856], [0.9344107204433519], [1.0]], 'LIM': [[-0.038131014466134934], [0.4900011599644114], [1.0]], 'CON': [[-0.08310197653802112], [0.13193861502705548], [1.0]], 'DMN': [[-0.0432106675721775], [0.43401025576395114], [1.0]], 'Temp': [[-0.02009319543618477], [0.7161098946298853], [1.0]]}"
ages,rest1_s200,VAN,roc_raw_squared,"{'VIS': [[-0.11078321117786284], [0.044321785934042034], [0.7534703608787146]], 'SMN': [[-0.048043235009879615], [0.3843334595961548], [1.0]], 'DAN': [[-0.08572826303576712], [0.12011655575414279], [1.0]], 'VAN': [[0.004547520392956856], [0.9344107204433519], [1.0]], 'LIM': [[-0.038131014466134934], [0.4900011599644114], [1.0]], 'CON': [[-0.08310197653802112], [0.13193861502705548], [1.0]], 'DMN': [[-0.0432106675721775], [0.43401025576395114], [1.0]], 'Temp': [[-0.02009319543618477], [0.7161098946298853], [1.0]]}"
ages,rest1_s200,LIM,roc_raw_squared,"{'VIS': [[-0.11078321117786284], [0.044321785934042034], [0.7534703608787146]], 'SMN': [[-0.048043235009879615], [0.3843334595961548], [1.0]], 'DAN': [[-0.08572826303576712], [0.12011655575414279], [1.0]], 'VAN': [[0.004547520392956856], [0.9344107204433519], [1.0]], 'LIM': [[-0.038131014466134934], [0.4900011599644114], [1.0]], 'CON': [[-0.08310197653802112], [0.13193861502705548], [1.0]], 'DMN': [[-0.0432106675721775], [0.43401025576395114], [1.0]], 'Temp': [[-0.02009319543618477], [0.7161098946298853], [1.0]]}"
ages,rest1_s200,CON,roc_raw_squared,"{'VIS': [[-0.11078321117786284], [0.044321785934042034], [0.7534703608787146]], 'SMN': [[-0.048043235009879615], [0.3843334595961548], [1.0]], 'DAN': [[-0.08572826303576712], [0.12011655575414279], [1.0]], 'VAN': [[0.004547520392956856], [0.9344107204433519], [1.0]], 'LIM': [[-0.038131014466134934], [0.4900011599644114], [1.0]], 'CON': [[-0.08310197653802112], [0.13193861502705548], [1.0]], 'DMN': [[-0.0432106675721775], [0.43401025576395114], [1.0]], 'Temp': [[-0.02009319543618477], [0.7161098946298853], [1.0]]}"
ages,rest1_s200,DMN,roc_raw_squared,"{'VIS': [[-0.11078321117786284], [0.044321785934042034], [0.7534703608787146]], 'SMN': [[-0.048043235009879615], [0.3843334595961548], [1.0]], 'DAN': [[-0.08572826303576712], [0.12011655575414279], [1.0]], 'VAN': [[0.004547520392956856], [0.9344107204433519], [1.0]], 'LIM': [[-0.038131014466134934], [0.4900011599644114], [1.0]], 'CON': [[-0.08310197653802112], [0.13193861502705548], [1.0]], 'DMN': [[-0.0432106675721775], [0.43401025576395114], [1.0]], 'Temp': [[-0.02009319543618477], [0.7161098946298853], [1.0]]}"
ages,rest1_s200,Temp,roc_raw_squared,"{'VIS': [[-0.11078321117786284], [0.044321785934042034], [0.7534703608787146]], 'SMN': [[-0.048043235009879615], [0.3843334595961548], [1.0]], 'DAN': [[-0.08572826303576712], [0.12011655575414279], [1.0]], 'VAN': [[0.004547520392956856], [0.9344107204433519], [1.0]], 'LIM': [[-0.038131014466134934], [0.4900011599644114], [1.0]], 'CON': [[-0.08310197653802112], [0.13193861502705548], [1.0]], 'DMN': [[-0.0432106675721775], [0.43401025576395114], [1.0]], 'Temp': [[-0.02009319543618477], [0.7161098946298853], [1.0]]}"
ages,rest1_s200,VIS,se,"{'VIS': [[0.13200575051628527], [0.016421364770481926], [0.27916320109819276]], 'SMN': [[0.21304444063650396], [9.606240977177317e-05], [0.001633060966120144]], 'DAN': [[0.1578256576546199], [0.004050508979643797], [0.06885865265394454]], 'VAN': [[0.20067788067756198], [0.00024344908876447534], [0.004138634508996081]], 'LIM': [[0.1828954642628084], [0.0008436746322570929], [0.01434246874837058]], 'CON': [[0.16366594198906131], [0.0028638077353182216], [0.048684731500409764]], 'DMN': [[0.10915281550967378], [0.04756224740717701], [0.8085582059220091]], 'Temp': [[0.1755147499182311], [0.0013687058102626964], [0.023267998774465837]]}"
ages,rest1_s200,SMN,se,"{'VIS': [[0.13200575051628527], [0.016421364770481926], [0.27916320109819276]], 'SMN': [[0.21304444063650396], [9.606240977177317e-05], [0.001633060966120144]], 'DAN': [[0.1578256576546199], [0.004050508979643797], [0.06885865265394454]], 'VAN': [[0.20067788067756198], [0.00024344908876447534], [0.004138634508996081]], 'LIM': [[0.1828954642628084], [0.0008436746322570929], [0.01434246874837058]], 'CON': [[0.16366594198906131], [0.0028638077353182216], [0.048684731500409764]], 'DMN': [[0.10915281550967378], [0.04756224740717701], [0.8085582059220091]], 'Temp': [[0.1755147499182311], [0.0013687058102626964], [0.023267998774465837]]}"
ages,rest1_s200,DAN,se,"{'VIS': [[0.13200575051628527], [0.016421364770481926], [0.27916320109819276]], 'SMN': [[0.21304444063650396], [9.606240977177317e-05], [0.001633060966120144]], 'DAN': [[0.1578256576546199], [0.004050508979643797], [0.06885865265394454]], 'VAN': [[0.20067788067756198], [0.00024344908876447534], [0.004138634508996081]], 'LIM': [[0.1828954642628084], [0.0008436746322570929], [0.01434246874837058]], 'CON': [[0.16366594198906131], [0.0028638077353182216], [0.048684731500409764]], 'DMN': [[0.10915281550967378], [0.04756224740717701], [0.8085582059220091]], 'Temp': [[0.1755147499182311], [0.0013687058102626964], [0.023267998774465837]]}"
ages,rest1_s200,VAN,se,"{'VIS': [[0.13200575051628527], [0.016421364770481926], [0.27916320109819276]], 'SMN': [[0.21304444063650396], [9.606240977177317e-05], [0.001633060966120144]], 'DAN': [[0.1578256576546199], [0.004050508979643797], [0.06885865265394454]], 'VAN': [[0.20067788067756198], [0.00024344908876447534], [0.004138634508996081]], 'LIM': [[0.1828954642628084], [0.0008436746322570929], [0.01434246874837058]], 'CON': [[0.16366594198906131], [0.0028638077353182216], [0.048684731500409764]], 'DMN': [[0.10915281550967378], [0.04756224740717701], [0.8085582059220091]], 'Temp': [[0.1755147499182311], [0.0013687058102626964], [0.023267998774465837]]}"
ages,rest1_s200,LIM,se,"{'VIS': [[0.13200575051628527], [0.016421364770481926], [0.27916320109819276]], 'SMN': [[0.21304444063650396], [9.606240977177317e-05], [0.001633060966120144]], 'DAN': [[0.1578256576546199], [0.004050508979643797], [0.06885865265394454]], 'VAN': [[0.20067788067756198], [0.00024344908876447534], [0.004138634508996081]], 'LIM': [[0.1828954642628084], [0.0008436746322570929], [0.01434246874837058]], 'CON': [[0.16366594198906131], [0.0028638077353182216], [0.048684731500409764]], 'DMN': [[0.10915281550967378], [0.04756224740717701], [0.8085582059220091]], 'Temp': [[0.1755147499182311], [0.0013687058102626964], [0.023267998774465837]]}"
ages,rest1_s200,CON,se,"{'VIS': [[0.13200575051628527], [0.016421364770481926], [0.27916320109819276]], 'SMN': [[0.21304444063650396], [9.606240977177317e-05], [0.001633060966120144]], 'DAN': [[0.1578256576546199], [0.004050508979643797], [0.06885865265394454]], 'VAN': [[0.20067788067756198], [0.00024344908876447534], [0.004138634508996081]], 'LIM': [[0.1828954642628084], [0.0008436746322570929], [0.01434246874837058]], 'CON': [[0.16366594198906131], [0.0028638077353182216], [0.048684731500409764]], 'DMN': [[0.10915281550967378], [0.04756224740717701], [0.8085582059220091]], 'Temp': [[0.1755147499182311], [0.0013687058102626964], [0.023267998774465837]]}"
ages,rest1_s200,DMN,se,"{'VIS': [[0.13200575051628527], [0.016421364770481926], [0.27916320109819276]], 'SMN': [[0.21304444063650396], [9.606240977177317e-05], [0.001633060966120144]], 'DAN': [[0.1578256576546199], [0.004050508979643797], [0.06885865265394454]], 'VAN': [[0.20067788067756198], [0.00024344908876447534], [0.004138634508996081]], 'LIM': [[0.1828954642628084], [0.0008436746322570929], [0.01434246874837058]], 'CON': [[0.16366594198906131], [0.0028638077353182216], [0.048684731500409764]], 'DMN': [[0.10915281550967378], [0.04756224740717701], [0.8085582059220091]], 'Temp': [[0.1755147499182311], [0.0013687058102626964], [0.023267998774465837]]}"
ages,rest1_s200,Temp,se,"{'VIS': [[0.13200575051628527], [0.016421364770481926], [0.27916320109819276]], 'SMN': [[0.21304444063650396], [9.606240977177317e-05], [0.001633060966120144]], 'DAN': [[0.1578256576546199], [0.004050508979643797], [0.06885865265394454]], 'VAN': [[0.20067788067756198], [0.00024344908876447534], [0.004138634508996081]], 'LIM': [[0.1828954642628084], [0.0008436746322570929], [0.01434246874837058]], 'CON': [[0.16366594198906131], [0.0028638077353182216], [0.048684731500409764]], 'DMN': [[0.10915281550967378], [0.04756224740717701], [0.8085582059220091]], 'Temp': [[0.1755147499182311], [0.0013687058102626964], [0.023267998774465837]]}"
ages,rest1_s200,VIS,fe,"{'VIS': [[0.15756181420136414], [0.004113355423704201], [0.06992704220297141]], 'SMN': [[0.2348567104188128], [1.62784692359093e-05], [0.0002767339770104581]], 'DAN': [[0.17971244436590747], [0.001041805848556768], [0.017710699425465055]], 'VAN': [[0.2244674043274764], [3.87501208313208e-05], [0.0006587520541324536]], 'LIM': [[0.2544660820684386], [2.8358001537632695e-06], [4.820860261397558e-05]], 'CON': [[0.16917712553663355], [0.002043392024408612], [0.034737664414946405]], 'DMN': [[0.12854967926758482], [0.01948810660148101], [0.3312978122251772]], 'Temp': [[0.1997110117644004], [0.00026120970953336315], [0.004440565062067173]]}"
ages,rest1_s200,SMN,fe,"{'VIS': [[0.15756181420136414], [0.004113355423704201], [0.06992704220297141]], 'SMN': [[0.2348567104188128], [1.62784692359093e-05], [0.0002767339770104581]], 'DAN': [[0.17971244436590747], [0.001041805848556768], [0.017710699425465055]], 'VAN': [[0.2244674043274764], [3.87501208313208e-05], [0.0006587520541324536]], 'LIM': [[0.2544660820684386], [2.8358001537632695e-06], [4.820860261397558e-05]], 'CON': [[0.16917712553663355], [0.002043392024408612], [0.034737664414946405]], 'DMN': [[0.12854967926758482], [0.01948810660148101], [0.3312978122251772]], 'Temp': [[0.1997110117644004], [0.00026120970953336315], [0.004440565062067173]]}"
ages,rest1_s200,DAN,fe,"{'VIS': [[0.15756181420136414], [0.004113355423704201], [0.06992704220297141]], 'SMN': [[0.2348567104188128], [1.62784692359093e-05], [0.0002767339770104581]], 'DAN': [[0.17971244436590747], [0.001041805848556768], [0.017710699425465055]], 'VAN': [[0.2244674043274764], [3.87501208313208e-05], [0.0006587520541324536]], 'LIM': [[0.2544660820684386], [2.8358001537632695e-06], [4.820860261397558e-05]], 'CON': [[0.16917712553663355], [0.002043392024408612], [0.034737664414946405]], 'DMN': [[0.12854967926758482], [0.01948810660148101], [0.3312978122251772]], 'Temp': [[0.1997110117644004], [0.00026120970953336315], [0.004440565062067173]]}"
ages,rest1_s200,VAN,fe,"{'VIS': [[0.15756181420136414], [0.004113355423704201], [0.06992704220297141]], 'SMN': [[0.2348567104188128], [1.62784692359093e-05], [0.0002767339770104581]], 'DAN': [[0.17971244436590747], [0.001041805848556768], [0.017710699425465055]], 'VAN': [[0.2244674043274764], [3.87501208313208e-05], [0.0006587520541324536]], 'LIM': [[0.2544660820684386], [2.8358001537632695e-06], [4.820860261397558e-05]], 'CON': [[0.16917712553663355], [0.002043392024408612], [0.034737664414946405]], 'DMN': [[0.12854967926758482], [0.01948810660148101], [0.3312978122251772]], 'Temp': [[0.1997110117644004], [0.00026120970953336315], [0.004440565062067173]]}"
ages,rest1_s200,LIM,fe,"{'VIS': [[0.15756181420136414], [0.004113355423704201], [0.06992704220297141]], 'SMN': [[0.2348567104188128], [1.62784692359093e-05], [0.0002767339770104581]], 'DAN': [[0.17971244436590747], [0.001041805848556768], [0.017710699425465055]], 'VAN': [[0.2244674043274764], [3.87501208313208e-05], [0.0006587520541324536]], 'LIM': [[0.2544660820684386], [2.8358001537632695e-06], [4.820860261397558e-05]], 'CON': [[0.16917712553663355], [0.002043392024408612], [0.034737664414946405]], 'DMN': [[0.12854967926758482], [0.01948810660148101], [0.3312978122251772]], 'Temp': [[0.1997110117644004], [0.00026120970953336315], [0.004440565062067173]]}"
ages,rest1_s200,CON,fe,"{'VIS': [[0.15756181420136414], [0.004113355423704201], [0.06992704220297141]], 'SMN': [[0.2348567104188128], [1.62784692359093e-05], [0.0002767339770104581]], 'DAN': [[0.17971244436590747], [0.001041805848556768], [0.017710699425465055]], 'VAN': [[0.2244674043274764], [3.87501208313208e-05], [0.0006587520541324536]], 'LIM': [[0.2544660820684386], [2.8358001537632695e-06], [4.820860261397558e-05]], 'CON': [[0.16917712553663355], [0.002043392024408612], [0.034737664414946405]], 'DMN': [[0.12854967926758482], [0.01948810660148101], [0.3312978122251772]], 'Temp': [[0.1997110117644004], [0.00026120970953336315], [0.004440565062067173]]}"
ages,rest1_s200,DMN,fe,"{'VIS': [[0.15756181420136414], [0.004113355423704201], [0.06992704220297141]], 'SMN': [[0.2348567104188128], [1.62784692359093e-05], [0.0002767339770104581]], 'DAN': [[0.17971244436590747], [0.001041805848556768], [0.017710699425465055]], 'VAN': [[0.2244674043274764], [3.87501208313208e-05], [0.0006587520541324536]], 'LIM': [[0.2544660820684386], [2.8358001537632695e-06], [4.820860261397558e-05]], 'CON': [[0.16917712553663355], [0.002043392024408612], [0.034737664414946405]], 'DMN': [[0.12854967926758482], [0.01948810660148101], [0.3312978122251772]], 'Temp': [[0.1997110117644004], [0.00026120970953336315], [0.004440565062067173]]}"
ages,rest1_s200,Temp,fe,"{'VIS': [[0.15756181420136414], [0.004113355423704201], [0.06992704220297141]], 'SMN': [[0.2348567104188128], [1.62784692359093e-05], [0.0002767339770104581]], 'DAN': [[0.17971244436590747], [0.001041805848556768], [0.017710699425465055]], 'VAN': [[0.2244674043274764], [3.87501208313208e-05], [0.0006587520541324536]], 'LIM': [[0.2544660820684386], [2.8358001537632695e-06], [4.820860261397558e-05]], 'CON': [[0.16917712553663355], [0.002043392024408612], [0.034737664414946405]], 'DMN': [[0.12854967926758482], [0.01948810660148101], [0.3312978122251772]], 'Temp': [[0.1997110117644004], [0.00026120970953336315], [0.004440565062067173]]}"
